Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 17/09/2010 / Data final: 17/09/2019.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
17/09/2019;5,9;1,00022751;457.797.782.462,68;819;5,89;5,89;5,9;0,048;196,639;
16/09/2019;5,9;1,00022751;452.623.724.451,48;854;5,89;5,89;5,9;0,156;361,832;
13/09/2019;5,9;1,00022751;448.088.028.445,86;885;5,9;5,89;5,9;0,021;371,972;
12/09/2019;5,9;1,00022751;462.128.917.240,96;865;5,9;5,89;5,9;0,021;395,239;
11/09/2019;5,9;1,00022751;478.451.758.881,66;858;5,9;5,89;5,9;0,02;250,483;
10/09/2019;5,9;1,00022751;470.140.068.510,76;880;5,9;5,89;5,9;0,021;415,637;
09/09/2019;5,9;1,00022751;481.149.215.173,86;893;5,9;5,89;5,9;0,018;413,461;
06/09/2019;5,9;1,00022751;469.748.258.741,7;915;5,9;5,89;5,9;0,021;273,942;
05/09/2019;5,9;1,00022751;508.753.667.933,31;869;5,9;5,89;5,9;0,018;431,427;
04/09/2019;5,9;1,00022751;519.838.001.868,86;861;5,9;5,89;5,9;0,024;335,689;
03/09/2019;5,9;1,00022751;510.121.804.520,31;869;5,9;5,89;5,9;0,019;201,994;
02/09/2019;5,9;1,00022751;488.297.297.055,7;866;5,9;5,89;5,9;0,025;525,938;
30/08/2019;5,9;1,00022751;463.938.390.748,13;872;5,9;5,89;5,9;0,02;356,272;
29/08/2019;5,9;1,00022751;479.486.886.467,12;867;5,9;5,89;5,9;0,018;298,486;
28/08/2019;5,9;1,00022751;477.643.477.181,9;871;5,9;5,89;5,9;0,019;308,272;
27/08/2019;5,9;1,00022751;486.731.545.339,35;893;5,9;5,89;5,9;0,019;302,381;
26/08/2019;5,9;1,00022751;486.020.850.852,02;884;5,9;5,89;5,9;0,02;379,905;
23/08/2019;5,9;1,00022751;492.053.631.125,18;928;5,9;5,89;5,9;0,024;311,379;
22/08/2019;5,9;1,00022751;510.669.718.827,42;903;5,9;5,89;5,9;0,017;322,294;
21/08/2019;5,9;1,00022751;523.882.284.711,08;865;5,9;5,89;5,9;0,018;346,032;
20/08/2019;5,9;1,00022751;559.592.958.546,86;860;5,9;5,89;5,9;0,017;350,473;
